# x	y	u	v	mask
  0.5180	  7.0452	 -0.6104	 -3.0024	  0.0000
  0.9324	  7.0452	 -0.1718	 -0.8695	  1.0000
  1.3469	  7.0452	  0.4873	 -0.3500	  0.0000
  1.7613	  7.0452	  0.4884	 -0.2298	  0.0000
  2.1757	  7.0452	  0.1309	 -0.0549	  0.0000
  2.5901	  7.0452	 -0.7772	  0.2735	  1.0000
  3.0046	  7.0452	 -1.0402	  0.3288	  1.0000
  3.4190	  7.0452	 -0.8848	  0.7471	  0.0000
  3.8334	  7.0452	 -1.4507	  0.7350	  0.0000
  4.2478	  7.0452	 -1.5973	 -0.2536	  1.0000
  4.6622	  7.0452	 -1.6417	 -0.4148	  1.0000
  5.0767	  7.0452	 -2.2013	 -0.0025	  0.0000
  5.4911	  7.0452	 -2.2410	  0.0138	  0.0000
  5.9055	  7.0452	 -1.3105	 -0.6352	  1.0000
  6.3199	  7.0452	 -1.0464	 -0.5590	  1.0000
  6.7344	  7.0452	  0.2418	 -0.3141	  0.0000
  7.1488	  7.0452	 -0.4626	 -0.4019	  1.0000
  7.5632	  7.0452	  0.0880	 -0.4488	  0.0000
  7.9776	  7.0452	  0.0600	 -0.3707	  0.0000
  8.3920	  7.0452	  0.0283	 -0.2661	  0.0000
  8.8065	  7.0452	  0.0412	 -0.2497	  1.0000
  0.5180	  6.6308	 -0.7161	 -2.5684	  0.0000
  0.9324	  6.6308	  0.4076	  0.0110	  0.0000
  1.3469	  6.6308	 -0.3953	 -0.6646	  1.0000
  1.7613	  6.6308	  0.2664	  0.2189	  0.0000
  2.1757	  6.6308	 -0.1180	  0.1841	  0.0000
  2.5901	  6.6308	 -1.5045	  1.5415	  0.0000
  3.0046	  6.6308	 -1.0632	 -0.0707	  1.0000
  3.4190	  6.6308	 -1.3383	 -0.0744	  1.0000
  3.8334	  6.6308	 -1.6804	  0.8952	  0.0000
  4.2478	  6.6308	 -1.4843	 -0.6631	  0.0000
  4.6622	  6.6308	 -1.4472	 -1.4616	  0.0000
  5.0767	  6.6308	 -0.8609	 -1.5457	  0.0000
  5.4911	  6.6308	 -1.9732	 -2.5228	  0.0000
  5.9055	  6.6308	  1.5830	 -3.0150	  0.0000
  6.3199	  6.6308	  0.1749	 -1.4978	  0.0000
  6.7344	  6.6308	  0.3737	 -0.5659	  0.0000
  7.1488	  6.6308	 -0.6180	 -0.3813	  1.0000
  7.5632	  6.6308	  0.1185	 -0.3275	  0.0000
  7.9776	  6.6308	  0.1319	 -0.2878	  0.0000
  8.3920	  6.6308	  0.0420	 -0.1538	  0.0000
  8.8065	  6.6308	 -0.0703	 -0.1985	  0.0000
  0.5180	  6.2163	 -0.6739	 -2.7817	  0.0000
  0.9324	  6.2163	 -0.2160	 -1.2207	  1.0000
  1.3469	  6.2163	  1.5378	  1.5011	  0.0000
  1.7613	  6.2163	 -0.4688	 -0.8105	  1.0000
  2.1757	  6.2163	 -0.6154	 -0.5644	  1.0000
  2.5901	  6.2163	 -0.9652	  3.1701	  0.0000
  3.0046	  6.2163	  0.6122	  1.5244	  0.0000
  3.4190	  6.2163	 -1.4873	  1.1933	  0.0000
  3.8334	  6.2163	 -2.0480	  1.5058	  0.0000
  4.2478	  6.2163	 -1.7035	  0.3414	  0.0000
  4.6622	  6.2163	 -1.6582	 -1.4486	  0.0000
  5.0767	  6.2163	 -2.4330	 -0.0382	  0.0000
  5.4911	  6.2163	 -2.0428	 -1.9947	  0.0000
  5.9055	  6.2163	 -1.7601	 -0.3312	  1.0000
  6.3199	  6.2163	 -1.4560	 -0.3076	  1.0000
  6.7344	  6.2163	 -1.5638	  0.0506	  0.0000
  7.1488	  6.2163	  0.2676	 -0.6059	  0.0000
  7.5632	  6.2163	  0.3632	 -0.4543	  0.0000
  7.9776	  6.2163	 -0.3295	 -0.2381	  1.0000
  8.3920	  6.2163	  0.0122	 -0.1973	  0.0000
  8.8065	  6.2163	 -0.0264	 -0.1356	  0.0000
  0.5180	  5.8019	 -0.1638	 -1.3105	  1.0000
  0.9324	  5.8019	 -0.8965	 -1.5206	  0.0000
  1.3469	  5.8019	 -1.0493	 -1.5826	  0.0000
  1.7613	  5.8019	 -0.4591	 -0.9155	  1.0000
  2.1757	  5.8019	 -0.6173	 -0.7177	  1.0000
  2.5901	  5.8019	 -3.1678	  4.1027	  0.0000
  3.0046	  5.8019	 -1.3796	 -1.9706	  0.0000
  3.4190	  5.8019	 -1.4470	 -1.7545	  0.0000
  3.8334	  5.8019	 -1.2859	 -1.1681	  0.0000
