# x	y	u	v	mask
  0.5180	  7.0452	  0.5776	 -3.1804	  0.0000
  0.9324	  7.0452	  0.2919	 -2.2620	  0.0000
  1.3469	  7.0452	  0.5760	 -2.4066	  0.0000
  1.7613	  7.0452	  0.2310	 -0.0742	  1.0000
  2.1757	  7.0452	  0.0177	  0.2530	  1.0000
  2.5901	  7.0452	  1.5609	  0.3148	  0.0000
  3.0046	  7.0452	 -0.3611	  0.3294	  1.0000
  3.4190	  7.0452	  1.0881	  0.0737	  0.0000
  3.8334	  7.0452	  0.5999	 -0.1127	  0.0000
  4.2478	  7.0452	 -0.7982	  0.3479	  1.0000
  4.6622	  7.0452	 -0.7714	  0.0744	  1.0000
  5.0767	  7.0452	 -0.6330	  0.3866	  1.0000
  5.4911	  7.0452	 -0.5931	 -0.0203	  1.0000
  5.9055	  7.0452	 -0.5865	 -0.3298	  1.0000
  6.3199	  7.0452	  0.9318	 13.9085	  0.0000
  6.7344	  7.0452	  1.3739	 -2.3209	  0.0000
  7.1488	  7.0452	 -1.5099	 -3.0922	  0.0000
  7.5632	  7.0452	 -0.3077	 -2.7971	  0.0000
  7.9776	  7.0452	 -0.5507	 -3.0747	  0.0000
  8.3920	  7.0452	 -1.3955	 -3.4974	  0.0000
  8.8065	  7.0452	 -1.3897	 -2.3181	  0.0000
  0.5180	  6.6308	  1.4877	 -1.6162	  0.0000
  0.9324	  6.6308	  0.4217	 -1.6263	  0.0000
  1.3469	  6.6308	 -0.1573	 -1.7496	  0.0000
  1.7613	  6.6308	  0.1439	  0.0753	  1.0000
  2.1757	  6.6308	 -0.0964	  0.3509	  1.0000
  2.5901	  6.6308	 -0.3845	  0.3542	  1.0000
  3.0046	  6.6308	 -0.5476	  0.4092	  1.0000
  3.4190	  6.6308	 -0.7670	  0.5163	  1.0000
  3.8334	  6.6308	  0.3016	  1.0169	  0.0000
  4.2478	  6.6308	 -0.5226	 -1.0860	  0.0000
  4.6622	  6.6308	 -0.7042	 -0.8075	  0.0000
  5.0767	  6.6308	 -0.7229	  0.3423	  1.0000
  5.4911	  6.6308	 -1.3454	  0.0899	  0.0000
  5.9055	  6.6308	  0.0316	 -2.1360	  0.0000
  6.3199	  6.6308	 -0.4925	 -0.5944	  1.0000
  6.7344	  6.6308	 -1.3927	 -3.6735	  0.0000
  7.1488	  6.6308	 -1.1445	 -2.9399	  0.0000
  7.5632	  6.6308	 -0.6289	 -1.5949	  1.0000
  7.9776	  6.6308	 -0.5326	 -2.6832	  0.0000
  8.3920	  6.6308	 -1.2609	 -2.9777	  0.0000
  8.8065	  6.6308	 -1.4547	 -3.3658	  0.0000
  0.5180	  6.2163	  0.6323	 -0.3605	  1.0000
  0.9324	  6.2163	  0.4770	 -0.2100	  1.0000
  1.3469	  6.2163	 -1.5955	  1.4952	  0.0000
  1.7613	  6.2163	 -0.4640	 -1.0961	  0.0000
  2.1757	  6.2163	 -0.1468	  0.2919	  1.0000
  2.5901	  6.2163	 -0.4502	  0.3269	  1.0000
  3.0046	  6.2163	  1.1124	 -0.9386	  0.0000
  3.4190	  6.2163	 -0.8756	  0.4791	  1.0000
  3.8334	  6.2163	  0.0214	  1.6766	  0.0000
  4.2478	  6.2163	 -1.0362	  0.3955	  1.0000
  4.6622	  6.2163	 -1.1039	  1.3045	  0.0000
  5.0767	  6.2163	 -0.8279	  0.2865	  1.0000
  5.4911	  6.2163	 -1.5816	 -0.7894	  0.0000
  5.9055	  6.2163	  0.1234	 -1.7008	  0.0000
  6.3199	  6.2163	  0.4678	 -0.6150	  0.0000
  6.7344	  6.2163	 -0.0501	 -1.5133	  0.0000
  7.1488	  6.2163	 -0.6389	 -1.4158	  1.0000
  7.5632	  6.2163	 -0.7326	 -1.6354	  1.0000
  7.9776	  6.2163	 -0.8279	 -2.4596	  0.0000
  8.3920	  6.2163	 -1.0648	 -2.2722	  1.0000
  8.8065	  6.2163	 -1.1308	 -2.4028	  1.0000
  0.5180	  5.8019	  0.6700	 -0.3601	  1.0000
  0.9324	  5.8019	  5.3010	  8.4803	  0.0000
  1.3469	  5.8019	  0.2892	 -0.0875	  1.0000
  1.7613	  5.8019	  0.9514	 -1.6868	  0.0000
  2.1757	  5.8019	 -0.1992	  0.2702	  1.0000
  2.5901	  5.8019	 -2.4545	  1.7780	  0.0000
  3.0046	  5.8019	 -2.5826	  1.9640	  0.0000
  3.4190	  5.8019	 -1.5894	  1.8483	  0.0000
  3.8334	  5.8019	 -1.5856	  0.3817	  0.0000
  4.2478	  5.8019	 -1.3479	  0.3792	  0.0000
  4.6622	  5.8019	 -2.8126	  0.8098	  0.0000
  5.0767	  5.8019	 -0.9168	  0.2563	  1.0000
  5.4911	  5.8019	 -1.0120	 -0.4571	  0.0000
  5.9055	  5.8019	 -1.3104	 -1.6128	  0.0000
  6.3199	  5.8019	  0.4059	 -0.8039	  0.0000
  6.7344	  5.8019	  0.5252	 -0.9230	  0.0000
  7.1488	  5.8019	 -0.7144	 -1.3469	  1.0000
  7.5632	  5.8019	 -0.8254	 -1.5824	  1.0000
  7.9776	  5.8019	 -0.9655	 -2.0877	  1.0000
  8.3920	  5.8019	 -1.1631	 -2.2175	  1.0000
  8.8065	  5.8019	 -1.5115	 -2.6255	  0.0000
  0.5180	  5.3875	  0.7521	 -0.0854	  1.0000
  0.9324	  5.3875	  0.5388	 -0.0121	  1.0000
  1.3469	  5.3875	  1.1520	  1.4476	  0.0000
  1.7613	  5.3875	  0.0221	  0.1833	  1.0000
  2.1757	  5.3875	 -0.3538	  0.2950	  1.0000
  2.5901	  5.3875	 -0.7408	  0.2898	  1.0000
  3.0046	  5.3875	 -3.0158	  1.8969	  0.0000
  3.4190	  5.3875	 -1.2286	  0.3905	  1.0000
  3.8334	  5.3875	 -1.7436	  1.1641	  0.0000
