# x	y	u	v	mask
  0.3108	  6.9934	  0.3709	 -1.7197	  1.0000
  0.6734	  6.9934	  0.0022	 -0.1780	  0.0000
  1.0361	  6.9934	  0.4681	 -1.1323	  1.0000
  1.3987	  6.9934	  7.5380	 -7.5739	  0.0000
  1.7613	  6.9934	  0.3808	 -0.6120	  1.0000
  2.1239	  6.9934	  0.4063	  0.5226	  1.0000
  2.4865	  6.9934	 -0.1921	  1.0725	  1.0000
  2.8492	  6.9934	 -1.1088	 -0.7352	  0.0000
  3.2118	  6.9934	 -1.2963	  0.6951	  0.0000
  3.5744	  6.9934	 -0.6972	  1.0053	  1.0000
  3.9370	  6.9934	  6.4159	 -3.0043	  0.0000
  4.2996	  6.9934	 -0.2732	  0.9833	  1.0000
  4.6622	  6.9934	  1.0614	  0.8005	  1.0000
  5.0249	  6.9934	  1.6258	  0.8748	  1.0000
  5.3875	  6.9934	  1.8176	  1.0212	  1.0000
  5.7501	  6.9934	 14.5474	 12.0541	  0.0000
  6.1127	  6.9934	 -2.8534	 13.9844	  0.0000
  6.4753	  6.9934	  2.7532	  0.7874	  1.0000
  6.8380	  6.9934	  2.9631	  0.0597	  1.0000
  7.2006	  6.9934	  2.3048	 -0.3225	  1.0000
  7.5632	  6.9934	  1.6927	 -0.8995	  1.0000
  7.9258	  6.9934	  1.3652	 -1.1591	  1.0000
  8.2884	  6.9934	  1.2468	 -1.3779	  1.0000
  8.6511	  6.9934	 -7.6282	 -7.7261	  0.0000
  9.0137	  6.9934	  0.1835	 -1.5287	  1.0000
  0.3108	  6.6308	 -0.3051	 -1.6819	  1.0000
  0.6734	  6.6308	-14.7996	 -9.2540	  0.0000
  1.0361	  6.6308	  0.0701	 -0.5435	  0.0000
  1.3987	  6.6308	  0.2336	 -1.0772	  1.0000
  1.7613	  6.6308	 -0.8870	 -0.3809	  0.0000
  2.1239	  6.6308	  0.7229	 -0.1014	  1.0000
  2.4865	  6.6308	  0.2353	  0.3215	  1.0000
  2.8492	  6.6308	 -0.1754	  0.4139	  1.0000
  3.2118	  6.6308	 -0.1355	  0.3174	  1.0000
  3.5744	  6.6308	 -1.7403	  0.6465	  0.0000
  3.9370	  6.6308	 -1.8202	  1.1801	  0.0000
  4.2996	  6.6308	 -0.3576	  0.2415	  1.0000
  4.6622	  6.6308	  0.4689	  0.5161	  1.0000
  5.0249	  6.6308	  0.9983	  0.5725	  1.0000
  5.3875	  6.6308	  1.2454	  0.6464	  1.0000
  5.7501	  6.6308	  1.4791	  0.8132	  1.0000
  6.1127	  6.6308	 -0.9656	  0.0091	  0.0000
  6.4753	  6.6308	  0.7941	  0.3283	  0.0000
  6.8380	  6.6308	  1.4205	 -1.1932	  0.0000
  7.2006	  6.6308	  2.3337	  0.0230	  1.0000
  7.5632	  6.6308	  1.8176	 -0.4552	  1.0000
  7.9258	  6.6308	 10.5929	 -7.6897	  0.0000
  8.2884	  6.6308	  1.5445	  0.1622	  0.0000
  8.6511	  6.6308	  0.4956	 -1.2982	  1.0000
  9.0137	  6.6308	  0.3508	 -1.2069	  1.0000
  0.3108	  6.2681	 -0.4479	 -0.4614	  1.0000
  0.6734	  6.2681	 -0.1409	 -0.1758	  1.0000
  1.0361	  6.2681	 -8.4345	  7.6597	  0.0000
  1.3987	  6.2681	  7.6045	  7.6872	  0.0000
  1.7613	  6.2681	  0.5020	  0.3247	  1.0000
  2.1239	  6.2681	  0.5718	  0.5308	  1.0000
  2.4865	  6.2681	  0.3296	  0.7093	  1.0000
  2.8492	  6.2681	 -0.1841	  0.5237	  0.0000
  3.2118	  6.2681	-11.8927	 13.4395	  0.0000
  3.5744	  6.2681	 -7.8657	  9.7788	  0.0000
  3.9370	  6.2681	 -0.6558	  0.5356	  1.0000
  4.2996	  6.2681	  8.1855	 -7.7597	  0.0000
  4.6622	  6.2681	  0.0626	  0.3671	  1.0000
  5.0249	  6.2681	  0.5106	  0.3544	  1.0000
  5.3875	  6.2681	  0.7601	  0.4228	  1.0000
  5.7501	  6.2681	  1.0377	  0.5642	  1.0000
  6.1127	  6.2681	  6.8584	 -1.0891	  0.0000
  6.4753	  6.2681	  0.8542	 -0.1235	  0.0000
  6.8380	  6.2681	  0.8111	  0.6849	  0.0000
  7.2006	  6.2681	 10.8816	 -2.6685	  0.0000
  7.5632	  6.2681	 -0.0874	 -7.2380	  0.0000
  7.9258	  6.2681	 -1.2795	 -7.6304	  0.0000
  8.2884	  6.2681	  1.0500	 -0.0696	  1.0000
  8.6511	  6.2681	 -5.0862	  8.5697	  0.0000
  9.0137	  6.2681	 -0.2527	 -0.3358	  1.0000
  0.3108	  5.9055	 -0.6018	  0.3050	  1.0000
  0.6734	  5.9055	  0.9070	 -7.7600	  0.0000
  1.0361	  5.9055	 13.1510	 -7.7803	  0.0000
  1.3987	  5.9055	  0.2874	  0.1274	  1.0000
  1.7613	  5.9055	  0.6835	  0.5622	  1.0000
  2.1239	  5.9055	  0.7758	  0.7091	  1.0000
  2.4865	  5.9055	  0.5044	  1.0082	  1.0000
  2.8492	  5.9055	  0.1343	  0.9620	  1.0000
  3.2118	  5.9055	 -0.1526	  1.0160	  1.0000
  3.5744	  5.9055	 -0.5333	  0.8768	  0.0000
  3.9370	  5.9055	 -1.4974	  0.4696	  0.0000
  4.2996	  5.9055	 -0.8065	  0.5398	  1.0000
  4.6622	  5.9055	 -1.7610	  0.9084	  0.0000
  5.0249	  5.9055	 -1.2613	  0.5229	  0.0000
  5.3875	  5.9055	  0.4046	  0.6336	  1.0000
  5.7501	  5.9055	  7.8798	 -4.0368	  0.0000
  6.1127	  5.9055	  1.3315	  1.1965	  1.0000
  6.4753	  5.9055	  1.5748	  1.0695	  1.0000
  6.8380	  5.9055	  1.9118	  0.8773	  1.0000
  7.2006	  5.9055	  6.8120	  4.1162	  0.0000
  7.5632	  5.9055	  0.9200	  0.1363	  0.0000
  7.9258	  5.9055	  0.9221	 -0.6496	  0.0000
  8.2884	  5.9055	  0.9552	  0.0465	  1.0000
  8.6511	  5.9055	  0.2354	 -0.2626	  1.0000
  9.0137	  5.9055	 -0.1547	 -0.2567	  1.0000
  0.3108	  5.5429	-10.4370	 -7.7988	  0.0000
  0.6734	  5.5429	  0.0098	 -0.0064	  0.0000
  1.0361	  5.5429	 -0.4245	  1.0291	  1.0000
  1.3987	  5.5429	 -0.1078	  0.8469	  1.0000
  1.7613	  5.5429	 -0.0213	 -0.4895	  0.0000
  2.1239	  5.5429	  0.6379	  1.4431	  1.0000
  2.4865	  5.5429	  7.8926	-10.5248	  0.0000
  2.8492	  5.5429	  0.2309	  1.5968	  1.0000
  3.2118	  5.5429	  6.7735	-12.8441	  0.0000
  3.5744	  5.5429	 -1.3375	  0.5380	  0.0000
  3.9370	  5.5429	 -0.9216	  1.2642	  1.0000
  4.2996	  5.5429	 -1.0680	  0.5802	  1.0000
  4.6622	  5.5429	 -0.5855	  0.6135	  0.0000
  5.0249	  5.5429	 -1.2449	  0.6334	  0.0000
  5.3875	  5.5429	 -5.6298	-10.4136	  0.0000
  5.7501	  5.5429	 -1.6706	  1.8877	  0.0000
  6.1127	  5.5429	  0.9100	  0.5598	  1.0000
  6.4753	  5.5429	  1.1851	  0.5214	  1.0000
  6.8380	  5.5429	  1.6023	  0.4321	  1.0000
  7.2006	  5.5429	  7.6083	  7.6688	  0.0000
  7.5632	  5.5429	  1.1050	  0.9136	  1.0000
  7.9258	  5.5429	  0.5979	 -0.1201	  0.0000
  8.2884	  5.5429	  1.0849	  0.5777	  1.0000
  8.6511	  5.5429	  0.4622	 -0.1496	  0.0000
  9.0137	  5.5429	  1.1741	 -0.0639	  0.0000
  0.3108	  5.1803	 -0.9111	  2.3338	  1.0000
  0.6734	  5.1803	  4.5675	 12.0047	  0.0000
  1.0361	  5.1803	 -7.7071	  7.8237	  0.0000
  1.3987	  5.1803	 -0.0613	 -0.3689	  0.0000
  1.7613	  5.1803	  5.3730	  7.7251	  0.0000
  2.1239	  5.1803	  0.8135	  1.8715	  1.0000
  2.4865	  5.1803	  0.6173	  2.0413	  1.0000
  2.8492	  5.1803	 -0.7677	  4.0814	  0.0000
  3.2118	  5.1803	  0.0327	  1.5771	  1.0000
  3.5744	  5.1803	 -0.8116	  0.5207	  0.0000
  3.9370	  5.1803	 -0.5502	  0.3284	  0.0000
  4.2996	  5.1803	 -1.3086	  0.6487	  1.0000
  4.6622	  5.1803	 -7.7293	 -4.8173	  0.0000
  5.0249	  5.1803	 -1.2445	  1.0766	  0.0000
  5.3875	  5.1803	 -0.6707	  0.0882	  1.0000
  5.7501	  5.1803	 -0.4055	  0.4760	  1.0000
  6.1127	  5.1803	 -0.5231	 -1.9872	  0.0000
  6.4753	  5.1803	  0.6282	  0.7880	  1.0000
  6.8380	  5.1803	  1.0035	  0.9156	  1.0000
  7.2006	  5.1803	  0.8624	  0.9999	  1.0000
  7.5632	  5.1803	  6.7779	  4.5694	  0.0000
  7.9258	  5.1803	  1.0508	 -0.5946	  0.0000
  8.2884	  5.1803	-12.5671	  8.9375	  0.0000
  8.6511	  5.1803	 -1.4406	  7.3266	  0.0000
  9.0137	  5.1803	 -0.0142	  0.5498	  1.0000
  0.3108	  4.8177	 -0.6684	  2.1492	  1.0000
  0.6734	  4.8177	 -0.1188	  1.7158	  1.0000
  1.0361	  4.8177	 -7.5659	  7.6657	  0.0000
  1.3987	  4.8177	  3.0116	  7.7021	  0.0000
  1.7613	  4.8177	  8.0028	-12.2755	  0.0000
  2.1239	  4.8177	  0.1079	 -0.5223	  0.0000
  2.4865	  4.8177	  0.9507	  1.8014	  1.0000
  2.8492	  4.8177	  7.7104	  7.7594	  0.0000
  3.2118	  4.8177	  1.4240	  0.1393	  0.0000
  3.5744	  4.8177	-10.6938	 14.8193	  0.0000
  3.9370	  4.8177	 -0.4547	  1.4820	  1.0000
  4.2996	  4.8177	 -0.3826	  0.9148	  0.0000
  4.6622	  4.8177	 -1.3424	  1.0630	  1.0000
  5.0249	  4.8177	 -1.0715	  0.3555	  0.0000
  5.3875	  4.8177	 -1.0814	  0.7056	  1.0000
  5.7501	  4.8177	 -0.8708	  1.1449	  1.0000
